Weight Class,Seed,Name,School
157,20,Jimmy Harrington,Harvard
157,21,Charlie Millard,Minnesota
157,22,Colton Washleski,Virginia
157,23,Kaleb Burgess,Buffalo
157,24,Jaivon Jones,Little Rock
157,25,Mason Shrader,Central Michigan
157,26,Jonathan Ley,Navy
157,27,Dylan Evans,Pittsburgh
157,28,Gavin Drexler,North Dakota State
157,29,Bryce Lowery,Indiana
157,30,Laird Root,North Carolina
157,31,Garrett McChesney,Edinboro
157,32,Jeb Prechtel,Bellarmine
157,33,Yannis Charles,Morgan State
165,1,Mitchell Mesenbrink,Penn State
165,2,Joey Blaze,Purdue
165,3,Mikey Caliendo,Iowa
165,4,Nicco Ruiz,Arizona State
165,5,LaDarion Lockett,Oklahoma State
165,6,LJ Araujo,Nebraska
165,7,Max Brignola,Lehigh
165,8,Matty Bianchi,Little Rock
165,9,Bryce Hepner,North Carolina
165,10,Will Denny,NC State
165,11,Ryder Downey,Northern Iowa
165,12,Cesar Alvan,Columbia
165,13,Andrew Sparks,Minnesota
165,14,Andrew Barbosa,Rutgers
165,15,Connor Euton,Iowa State
165,16,Paddy Gallagher,Ohio State
165,17,Braeden Scoles,Illinois
165,18,Gunner Filipowicz,Army
165,19,Noah Mulvaney,Bucknell
165,20,Ty Whalen,Princeton
165,21,Brock Woodcock,SIU Edwardsville
165,22,Matthew Olguin,Oregon State
165,23,Chris Earnest,Kent State
165,24,Sean Seefeldt,Penn
165,25,Mac Church,Virginia Tech
165,26,Tyler Lillard,Indiana
165,27,EJ Parco,Stanford
165,28,Cody Goebel,Wisconsin
165,29,Ryan Burgos,Edinboro
165,30,Thomas Snipes,The Citadel
165,31,Jared Keslar,Pittsburgh
165,32,Cody Walsh,Drexel
165,33,Ryan Vigil,VMI
174,1,Levi Haines,Penn State
174,2,Simon Ruiz,Cornell
174,3,Christopher Minto,Nebraska
174,4,Carson Kharchla,Ohio State
174,5,Patrick Kennedy,Iowa
174,6,Matty Singleton,NC State
174,7,Cam Steed,Missouri
174,8,Alex Facundo,Oklahoma State
174,9,Beau Mantanona,Michigan
174,10,Myles Takats,Bucknell
174,11,MJ Gaitan,Iowa State
174,12,Carter Schubert,Oklahoma
174,13,Carter Baer,Binghamton
174,14,Moses Espinoza-Owens,South Dakota State
174,15,Danny Wask,Navy
174,16,Nick Fine,Columbia
174,17,Jared Simma,Northern Iowa
174,18,Colin Kelly,Illinois
174,19,Logan Messer,George Mason
174,20,Daschle Lamer,Oregon State
174,21,Lenny Pinto,Rutgers
174,22,Brody Baumann,Purdue
174,23,Luca Augustine,Pittsburgh
174,24,Garrett Thompson,Ohio
174,25,Sergio Desiante,Virginia Tech
174,26,Derek Gilcher,Indiana
174,27,Collin Carrigan,North Carolina
174,28,Holden Garcia,Princeton
174,29,Avery Bassett,Lock Haven
174,30,Riley Davis,Wyoming
174,31,Cael Valencia,Arizona State
174,32,Luke Condon,Wisconsin
174,33,Grant O'Dell,Bellarmine
184,1,Rocco Welsh,Penn State
184,2,Aeoden Sinclair,Missouri
184,3,Max McEnelly,Minnesota
184,4,James Conway,Franklin & Marshall
184,5,Brock Mantanona,Michigan
184,6,Eddie Neitenbach,Wyoming
184,7,Angelo Ferrari,Iowa
184,8,Silas Allred,Nebraska
184,9,Chris Moore,Illinois
184,10,Caleb Campos,American
184,11,Shane Cartagena-Walsh,Rutgers
184,12,Dylan Fishback,Ohio State
184,13,Isaac Dean,Iowa State
184,14,Jaden Bullock,Virginia Tech
184,15,Sal Perrine,Ohio
184,16,Rylan Rogers,Lehigh
184,17,Ian Bush,West Virginia
184,18,Jake Dailey,North Carolina
184,19,Jared McGill,Edinboro
184,20,Brian Soldano,Oklahoma
184,21,Tomas Brooker,Appalachian State
184,22,Zack Ryder,Oklahoma State
184,23,Ceasar Garza,Cal Poly
184,24,Joe Curtis,Columbia
184,25,Malachi DuVall,George Mason
184,26,Chase Kranitz,Pittsburgh
184,27,Aidan Brenot,North Dakota State
184,28,Abraham Wojcikiewicz,Stanford
184,29,Nick Fox,Northern Iowa
184,30,Tyler Bienus,Bucknell
184,31,Mahonri Rushton,Northern Colorado
184,32,Caleb Uhlenhopp,Utah Valley
184,33,Sam Goin,Indiana
197,1,Josh Barr,Penn State
197,2,Rocky Elam,Iowa State
197,3,Stephen Little,Little Rock
197,4,Sonny Sasso,Virginia Tech
197,5,Joey Novak,Wyoming
197,6,Justin Rademacher,Oregon State
197,7,Cody Merrill,Oklahoma State
197,8,DJ Parker,Oklahoma
197,9,Angelo Posada,Stanford
197,10,Mac Stout,Pittsburgh
197,11,Camden McDanel,Nebraska
197,12,Luke Geog,Ohio State
197,13,Bennett Berge,South Dakota State
197,14,Gabe Sollars,Indiana
197,15,Remy Cotton,Rutgers
197,16,Branson John,Maryland
197,17,Dillon Bechtold,Bucknell
197,18,Andrew Reall,Brown
197,19,Zayne Lehman,Ohio
197,20,Wyatt Ingham,Wisconsin
197,21,Rune Lawrence,West Virginia
197,22,Devin Wasley,North Dakota State
197,23,Mikey Squires,Binghamton
197,24,Brock Zurawski,Rider
197,25,Evan Bates,Missouri
197,26,Ben Vanadia,Purdue
197,27,Gabe Arnold,Iowa
197,28,Kael Wisler,Michigan State
197,29,Colton Hawks,Arizona State
197,30,Kade Rule,Chattanooga
197,31,Kael Bennie,Utah Valley
